,Unnamed: 0,year,rank,title,wikilink,network,rating,show_id,genre_id,genre,overview,camera,ai_guess,groundtruth
775,1554,2001,1,Friends,//en.wikipedia.org/wiki/Friends,NBC,15,1668,35,comedy,"Six young people from New York City, on their own and struggling to survive in the real world, find the companionship, comfort and support they get from each other to be the perfect antidote to the pressures of life.",Multi-camera,studio_audience,studio_audience
616,1227,1990,15,Family Matters,//en.wikipedia.org/wiki/Family_Matters,ABC,15.8,2685,"3,510,751",comedy,"A long-running dramedy centering on the Winslow family, a middle-class African American family living in Chicago, and their pesky next-door neighbor, ultra-nerd Steve Urkel. A spin-off of Perfect Strangers.",Multi-camera,studio_audience,studio_audience
330,680,1972,12,The Flip Wilson Show,//en.wikipedia.org/wiki/The_Flip_Wilson_Show,NBC,23.1,10663,35,comedy,"The Flip Wilson Show is an hour long variety show that aired in the U.S. on NBC from September 17, 1970 to June 27, 1974. The show starred American comedian Flip Wilson; the program was one of the first American television programs starring a black person in the title role to become highly successful with a white audience. Specifically, it was the first successful network variety series starring an African American. During its first two seasons, its Nielsen ratings made it the nation's second most watched show.

The show consisted of many skits over an hour. It also broke new ground in American television by using a 'Theatre-in-the-Round' stage format, with the audience seated on all sides of a circular performance area.

Wilson was most famous for creating the role of Geraldine Jones, a sassy, modern woman who had a boyfriend named Killer. Flip also created the role of Reverend Leroy, who was the minister of the Church of What's Happening Now!. New parishioners were wary of coming to the church as it was hinted that Reverend Leroy was a con artist. Wilson popularized such catchphrases as ""What you see is what you get"", and ""The devil made me do it!"".",Unknown,studio_audience,studio_audience
686,1348,1994,13,Ellen,//en.wikipedia.org/wiki/Ellen_(TV_series),ABC,14.8,271,35,comedy,"Ellen works in a Los Angeles bookstore called Buy the Book and hangs around with her friends discussing lovers, work and family.",Unknown,studio_audience,studio_audience
781,1569,2001,16,Inside Schwartz,//en.wikipedia.org/wiki/Inside_Schwartz,NBC,9.8,8423,35,comedy,Inside Schwartz is an American sitcom starring Breckin Meyer as the titular character. The show was produced by 20th Century Fox Television and National Broadcasting Company and first aired on NBC on Thursday Night at 8:30 EST.,Multi-camera,unknown,no_added_laughter
67,145,1954,24,Topper,//en.wikipedia.org/wiki/Topper_(TV_series),CBS,29.4,12145,"10765,35",comedy,"Topper is an American fantasy sitcom based on the 1937 film of the same name. The series was broadcast on CBS from October 9, 1953 to July 15, 1955, and stars Leo G. Carroll in the title role.",Unknown,unknown,canned_laugh_track
585,1185,1989,3,Cheers,//en.wikipedia.org/wiki/Cheers,NBC,22.7,141,35,comedy,The story about a blue-collar Boston bar run by former sports star Sam Malone and the quirky and wonderful people who worked and drank there.,Multi-camera,studio_audience,studio_audience
554,1132,1987,10,ALF,//en.wikipedia.org/wiki/ALF_(TV_series),NBC,18.8,4658,"351,075,110,765",comedy,A furry alien wiseguy comes to live with a terran family after crashing into their garage.,Unknown,studio_audience,studio_audience
63,138,1954,17,General Electric Theater,//en.wikipedia.org/wiki/General_Electric_Theater,CBS,32.6,4520,"35,18",comedy,General Electric Theater is an American anthology series hosted by Ronald Reagan that was broadcast on CBS radio and television. The series was sponsored by General Electric's Department of Public Relations.,Unknown,studio_audience,studio_audience
879,2112,2019,8,Young Sheldon,//en.wikipedia.org/wiki/Young_Sheldon,CBS,11.45,71728,"35,10751,18",comedy,"The early life of child genius Sheldon Cooper, later seen in The Big Bang Theory.",Single-camera,studio_audience,no_added_laughter
