title,camera
Texaco Star Theater,Unknown
Fireside Theatre,Single-camera
Philco TV Playhouse,Unknown
Your Show of Shows,Multi-camera
The Colgate Comedy Hour,Multi-camera
Gillette Cavalcade of Sports,Multi-camera
The Lone Ranger,Unknown
Arthur Godfrey's Talent Scouts,Multi-camera
Hopalong Cassidy,Unknown
Mama,Unknown
Robert Montgomery Presents,Unknown
"Martin Kane, Private Eye",Unknown
Man Against Crime,Unknown
Kraft Television Theatre,Multi-camera
The Toast of the Town,Unknown
The Aldrich Family,Unknown
You Bet Your Life,Unknown
Arthur Godfrey and His Friends,Unknown
Armstrong Circle Theatre,Unknown
Lights Out,Unknown
Big Town,Unknown
The Alan Young Show,Unknown
Stop the Music,Unknown
Studio One,Unknown
The Big Story,Unknown
Pabst Blue Ribbon Bouts,Unknown
The Original Amateur Hour,Unknown
The Ken Murray Show,Unknown
Your Hit Parade,Unknown
Lux Video Theatre,Unknown
The Speidel Show,Unknown
Arthur Godfrey's Talent Scouts,Multi-camera
Texaco Star Theater,Unknown
I Love Lucy,Multi-camera
The Red Skelton Show,Unknown
The Colgate Comedy Hour,Multi-camera
Arthur Godfrey and His Friends,Unknown
Fireside Theatre,Single-camera
Your Show of Shows,Multi-camera
The Jack Benny Show,Unknown
You Bet Your Life,Unknown
Mama,Unknown
Philco TV Playhouse,Unknown
Amos 'n' Andy,Unknown
Gangbusters,Unknown
Big Town,Unknown
Goodyear TV Playhouse,Unknown
Pabst Blue Ribbon Bouts,Unknown
The Lone Ranger,Unknown
Gillette Cavalcade of Sports,Multi-camera
All Star Revue,Unknown
Dragnet,Unknown
The Alan Young Show,Unknown
Kraft Television Theatre,Multi-camera
Armstrong Circle Theatre,Unknown
Strike It Rich,Unknown
Robert Montgomery Presents,Unknown
The Roy Rogers Show,Unknown
Hopalong Cassidy,Unknown
Man Against Crime,Unknown
Racket Squad,Single-camera
I Love Lucy,Multi-camera
Arthur Godfrey's Talent Scouts,Multi-camera
Arthur Godfrey and His Friends,Unknown
Dragnet,Unknown
Texaco Star Theater,Unknown
The Buick Circus Hour,Unknown
The Colgate Comedy Hour,Multi-camera
Gangbusters,Unknown
You Bet Your Life,Unknown
Fireside Theatre,Single-camera
The Red Buttons Show,| company              =
The Jack Benny Show,Unknown
Life with Luigi,Unknown
Pabst Blue Ribbon Bouts,Unknown
Goodyear TV Playhouse,Unknown
The Life of Riley,Unknown
Philco TV Playhouse,Unknown
Mama,Unknown
Your Show of Shows,Multi-camera
What's My Line?,Unknown
Strike It Rich,Unknown
Our Miss Brooks,Multi-camera
The Big Story,Unknown
Gillette Cavalcade of Sports,Multi-camera
Amos 'n' Andy,Unknown
All Star Revue,Unknown
Treasury Men in Action,Unknown
The Red Skelton Show,Unknown
The Lone Ranger,Unknown
Ford Theatre,Unknown
I Love Lucy,Multi-camera
Dragnet,Unknown
Arthur Godfrey's Talent Scouts,Multi-camera
You Bet Your Life,Unknown
The Milton Berle Show,Unknown
Arthur Godfrey and His Friends,Unknown
Ford Theatre,Unknown
The Jackie Gleason Show,Multi-camera
Fireside Theatre,Single-camera
The Colgate Comedy Hour,Multi-camera
This Is Your Life,Unknown
The Red Buttons Show,| company              =
The Life of Riley,Unknown
Our Miss Brooks,Multi-camera
Treasury Men in Action,Unknown
The Jack Benny Show,Unknown
The Toast of the Town,Unknown
Gillette Cavalcade of Sports,Multi-camera
Philco TV Playhouse,Unknown
The George Burns and Gracie Allen Show,Unknown
Kraft Television Theatre,Multi-camera
Goodyear TV Playhouse,Unknown
Pabst Blue Ribbon Bouts,Unknown
Private Secretary,Unknown
I Married Joan,Unknown
Mama,Unknown
General Electric Theater,Unknown
What's My Line?,Unknown
The Big Story,Unknown
"Martin Kane, Private Eye",Unknown
Your Hit Parade,Unknown
I Love Lucy,Multi-camera
The Jackie Gleason Show,Multi-camera
Dragnet,Unknown
You Bet Your Life,Unknown
The Toast of the Town,Unknown
Disneyland,Unknown
The Jack Benny Show,Unknown
The George Gobel Show,Unknown
Ford Theatre,Unknown
December Bride,Unknown
The Buick-Berle Show,Unknown
This Is Your Life,Unknown
I've Got a Secret,Unknown
Two for the Money,Unknown
Your Hit Parade,Unknown
The Millionaire,Unknown
General Electric Theater,Unknown
Arthur Godfrey's Talent Scouts,Multi-camera
Private Secretary,Unknown
Fireside Theatre,Single-camera
The Life of Riley,Unknown
Arthur Godfrey and His Friends,Unknown
The Adventures of Rin Tin Tin,Unknown
Topper,Unknown
Pabst Blue Ribbon Bouts,Unknown
The George Burns and Gracie Allen Show,Unknown
The Colgate Comedy Hour,Multi-camera
The Loretta Young Show,Single-camera
My Little Margie,Multi-camera
The Roy Rogers Show,Unknown
"The $64,000 Question",Multi-camera
I Love Lucy,Multi-camera
The Ed Sullivan Show,Multi-camera
Disneyland,Unknown
The Jack Benny Show,Unknown
December Bride,Unknown
You Bet Your Life,Unknown
Dragnet,Unknown
The Millionaire,Unknown
I've Got a Secret,Unknown
General Electric Theater,Unknown
Private Secretary,Unknown
Ford Theatre,Unknown
The Red Skelton Show,Unknown
The George Gobel Show,Unknown
Arthur Godfrey's Talent Scouts,Multi-camera
The Lineup,Unknown
The Perry Como Show,Unknown
The Honeymooners,Multi-camera
The Adventures of Robin Hood,Unknown
The Life of Riley,Unknown
Climax!,Television Film
Your Hit Parade,Unknown
Fireside Theatre,Single-camera
Lux Video Theatre,Unknown
This Is Your Life,Unknown
People Are Funny,Unknown
The George Burns and Gracie Allen Show,Unknown
