year,rank,title,wikilink,network,rating,show_id,genre_id,genre,overview
1950,1,Texaco Star Theater,//en.wikipedia.org/wiki/Texaco_Star_Theatre#Television,NBC,61.6,469.0,35,comedy,"Texaco Star Theater is an American comedy-variety show, broadcast on radio from 1938 to 1949 and telecast from 1948 to 1956. It was one of the first successful examples of American television broadcasting, remembered as the show that gave Milton Berle the nickname ""Mr. Television"".

The classic 1940–44 version of the program, hosted by radio's Fred Allen, was followed by a radio series on ABC in the spring of 1948. When Texaco first took it to television on NBC on June 8, 1948, the show had a huge cultural impact."
1950,4,Your Show of Shows,//en.wikipedia.org/wiki/Your_Show_of_Shows,NBC,42.6,12331.0,35,comedy,"Your Show of Shows was a live 90-minute variety show that was broadcast weekly in the United States on NBC, from February 25, 1950, until June 5, 1954, featuring Sid Caesar and Imogene Coca.

Other featured performers were Carl Reiner, Howard Morris, Bill Hayes, Judy Johnson, The Hamilton Trio and the soprano Marguerite Piazza. José Ferrer made several guest appearances on the series. The series was telecast from the now-demolished International Theatre at 5 Columbus Circle and the Century Theater, now demolished, in New York.

During 2002, Your Show of Shows was ranked #30 on TV Guide's 50 Greatest TV Shows of All Time."
1950,5,The Colgate Comedy Hour,//en.wikipedia.org/wiki/The_Colgate_Comedy_Hour,NBC,42.0,1048.0,35,comedy,"The Colgate Comedy Hour is an American comedy-musical variety series that aired live on the NBC network from 1950 to 1955. The show starred many notable comedians and entertainers of the era, including Eddie Cantor, Dean Martin and Jerry Lewis, Fred Allen, Donald O'Connor, Bud Abbott and Lou Costello, Bob Hope, Jimmy Durante, Ray Bolger, Gordon MacRae, Ben Blue, Robert Paige, Tony Curtis, Burt Lancaster, Broadway dancer Wayne Lamb and Spike Jones and His City Slickers."
1950,8,Arthur Godfrey's Talent Scouts,//en.wikipedia.org/wiki/Arthur_Godfrey's_Talent_Scouts#Television,CBS,40.6,9977.0,35,comedy,"Arthur Godfrey's Talent Scouts is an American radio and television variety show which ran on CBS from 1946 until 1958. Sponsored by Lipton Tea, it stars Arthur Godfrey, who was also hosting Arthur Godfrey and His Friends at the same time."
1950,10,Mama,//en.wikipedia.org/wiki/Mama_(American_TV_series),CBS,39.7,2016.0,35,comedy,"Thelma Harper and her spinster sister Fran open their home to Thelma's recently divorced son Vinton and his teenage son and daughter. It's quite an adjustment for everyone, especially the cranky, argumentative Thelma."
1950,15,The Toast of the Town,//en.wikipedia.org/wiki/The_Ed_Sullivan_Show,CBS,36.5,5307.0,"35,10767",comedy,"The Ed Sullivan Show is an American TV variety show that originally ran on CBS from Sunday June 20, 1948 to Sunday June 6, 1971, and was hosted by New York entertainment columnist Ed Sullivan. It was replaced in September 1971 by the CBS Sunday Night Movie, which ran only one season and was eventually replaced by other shows.

In 2002, The Ed Sullivan Show was ranked #15 on TV Guide's 50 Greatest TV Shows of All Time."
1950,16,The Aldrich Family,//en.wikipedia.org/wiki/The_Aldrich_Family,NBC,36.1,14335.0,35,comedy,
1950,17,You Bet Your Life,//en.wikipedia.org/wiki/You_Bet_Your_Life,NBC,36.0,4473.0,35,comedy,"You Bet Your Life is an American quiz show that aired on both radio and television. The original and best-known version was hosted by Groucho Marx of the Marx Brothers, with announcer and assistant George Fenneman. The show debuted on ABC Radio in October 1947, then moved to CBS Radio in September 1949 before making the transition to NBC-TV in October 1950. Because of its simple format, it was possible to broadcast the show simultaneously on the radio and on television. In 1960, the show was renamed The Groucho Show and ran a further year. Most episodes are in the public domain.

The play of the game, however, was secondary to the interplay between Groucho, the contestants, and occasionally Fenneman. The program was rerun into the 1970s, and later in syndication as The Best of Groucho. As such, it was the first game show to have its reruns syndicated."
1950,19,Big Town,//en.wikipedia.org/wiki/Big_Town#Television,CBS,35.6,241274.0,"35,18",comedy,A Hollywood production rolls into a small Irish town and throws the spotlight on a secret that's been kept hidden since the eve of the Millennium.
1950,28,The Ken Murray Show,//en.wikipedia.org/wiki/The_Ken_Murray_Show,CBS,32.1,30232.0,35,comedy,
1950,30,Lux Video Theatre,//en.wikipedia.org/wiki/Lux_Video_Theatre,CBS,31.5,12277.0,"18,35",comedy,"Lux Video Theatre is an American anthology series that was produced from 1950 until 1959. The series presented both comedy and drama in original teleplays, as well as abridged adaptations of films and plays."
1951,1,Arthur Godfrey's Talent Scouts,//en.wikipedia.org/wiki/Arthur_Godfrey's_Talent_Scouts#Television,CBS,53.8,9977.0,35,comedy,"Arthur Godfrey's Talent Scouts is an American radio and television variety show which ran on CBS from 1946 until 1958. Sponsored by Lipton Tea, it stars Arthur Godfrey, who was also hosting Arthur Godfrey and His Friends at the same time."
1951,2,Texaco Star Theater,//en.wikipedia.org/wiki/Texaco_Star_Theatre#Television,NBC,52.0,469.0,35,comedy,"Texaco Star Theater is an American comedy-variety show, broadcast on radio from 1938 to 1949 and telecast from 1948 to 1956. It was one of the first successful examples of American television broadcasting, remembered as the show that gave Milton Berle the nickname ""Mr. Television"".

The classic 1940–44 version of the program, hosted by radio's Fred Allen, was followed by a radio series on ABC in the spring of 1948. When Texaco first took it to television on NBC on June 8, 1948, the show had a huge cultural impact."
1951,3,I Love Lucy,//en.wikipedia.org/wiki/I_Love_Lucy,CBS,50.9,2730.0,"35,10751",comedy,"Cuban Bandleader Ricky Ricardo would be happy if his wife Lucy would just be a housewife. Instead she tries constantly to perform at the Tropicana where he works, and make life comically frantic in the apartment building they share with landlords Fred and Ethel Mertz, who also happen to be their best friends."
1951,4,The Red Skelton Show,//en.wikipedia.org/wiki/The_Red_Skelton_Show,NBC,50.2,10534.0,"35,10767,10751",comedy,"The Red Skelton Show is an American variety show that was a television staple for two decades, from 1951 to 1971. It was second to Gunsmoke and third to The Ed Sullivan Show in the ratings during that time. Skelton, who had previously been a radio star, had appeared in several motion pictures as well. Although his television series is largely associated with CBS, where it appeared for more than fifteen years, it actually began and ended on NBC. During its run, the program received three Emmy Awards, for Skelton as best comedian and the program as best comedy show during its initial season, and an award for comedy writing in 1961."
1951,5,The Colgate Comedy Hour,//en.wikipedia.org/wiki/The_Colgate_Comedy_Hour,NBC,45.3,1048.0,35,comedy,"The Colgate Comedy Hour is an American comedy-musical variety series that aired live on the NBC network from 1950 to 1955. The show starred many notable comedians and entertainers of the era, including Eddie Cantor, Dean Martin and Jerry Lewis, Fred Allen, Donald O'Connor, Bud Abbott and Lou Costello, Bob Hope, Jimmy Durante, Ray Bolger, Gordon MacRae, Ben Blue, Robert Paige, Tony Curtis, Burt Lancaster, Broadway dancer Wayne Lamb and Spike Jones and His City Slickers."
1951,8,Your Show of Shows,//en.wikipedia.org/wiki/Your_Show_of_Shows,NBC,43.0,12331.0,35,comedy,"Your Show of Shows was a live 90-minute variety show that was broadcast weekly in the United States on NBC, from February 25, 1950, until June 5, 1954, featuring Sid Caesar and Imogene Coca.

Other featured performers were Carl Reiner, Howard Morris, Bill Hayes, Judy Johnson, The Hamilton Trio and the soprano Marguerite Piazza. José Ferrer made several guest appearances on the series. The series was telecast from the now-demolished International Theatre at 5 Columbus Circle and the Century Theater, now demolished, in New York.

During 2002, Your Show of Shows was ranked #30 on TV Guide's 50 Greatest TV Shows of All Time."
1951,9,The Jack Benny Show,//en.wikipedia.org/wiki/The_Jack_Benny_Program#Television,CBS,42.8,10151.0,35,comedy,Laugh along with funnyman Jack Benny as he brings his underplayed humor to TV along with regular performers from his radio show days.
