,year,rank,show_title,network,rating
0,1950,1,Texaco Star Theater,NBC,61.6
1,1950,2,Fireside Theatre,NBC,52.6
2,1950,3,Philco TV Playhouse,NBC,45.3
3,1950,4,Your Show of Shows,NBC,42.6
4,1950,5,The Colgate Comedy Hour,NBC,42.0
5,1950,6,Gillette Cavalcade of Sports,NBC,41.3
6,1950,7,The Lone Ranger,ABC,41.2
7,1950,8,Arthur Godfrey's Talent Scouts,CBS,40.6
8,1950,9,Hopalong Cassidy,NBC,39.9
9,1950,10,Mama,CBS,39.7
10,1950,11,Robert Montgomery Presents,NBC,38.8
11,1950,12,"Martin Kane, Private Eye",NBC,37.8
12,1950,13,Man Against Crime,CBS,37.4
13,1950,14,Kraft Television Theatre,NBC,37.0
14,1950,15,The Toast of the Town,CBS,36.5
15,1950,16,The Aldrich Family,NBC,36.1
16,1950,17,You Bet Your Life,NBC,36.0
17,1950,18,Arthur Godfrey and His Friends,CBS,35.9
18,1950,19,Armstrong Circle Theatre,NBC,35.6
19,1950,Lights Out,,NBC,35.6
20,1950,Big Town,,NBC,35.6
21,1950,22,The Alan Young Show,NBC,34.4
22,1950,23,Stop the Music,ABC,34.0
23,1950,24,Studio One,CBS,33.8
24,1950,25,The Big Story,NBC,33.7
25,1950,26,Pabst Blue Ribbon Bouts,CBS,33.4
26,1950,The Original Amateur Hour,,CBS,33.4
27,1950,28,The Ken Murray Show,CBS,32.1
28,1950,29,Your Hit Parade,NBC,32.0
29,1950,30,Lux Video Theatre,CBS,31.5
30,1950,The Speidel Show,,CBS,31.5
31,1951,1,Arthur Godfrey's Talent Scouts,CBS,53.8
32,1951,2,Texaco Star Theater,NBC,52.0
33,1951,3,I Love Lucy,CBS,50.9
34,1951,4,The Red Skelton Show,NBC,50.2
35,1951,5,The Colgate Comedy Hour,NBC,45.3
36,1951,6,Arthur Godfrey and His Friends,CBS,43.3
37,1951,7,Fireside Theatre,NBC,43.1
38,1951,8,Your Show of Shows,NBC,43.0
39,1951,9,The Jack Benny Show,CBS,42.8
40,1951,10,You Bet Your Life,NBC,42.1
41,1951,11,Mama,CBS,41.3
42,1951,12,Philco TV Playhouse,NBC,40.4
43,1951,13,Amos 'n' Andy,CBS,38.9
44,1951,14,Gangbusters,NBC,38.7
45,1951,15,Big Town,CBS,38.5
46,1951,16,Goodyear TV Playhouse,NBC,37.8
47,1951,17,Pabst Blue Ribbon Bouts,CBS,37.5
48,1951,18,The Lone Ranger,ABC,36.8
49,1951,19,Gillette Cavalcade of Sports,NBC,36.5
50,1951,20,All Star Revue,NBC,36.3
51,1951,Dragnet,,NBC,36.3
52,1951,22,The Alan Young Show,CBS,35.8
53,1951,23,Kraft Television Theatre,NBC,34.8
54,1951,24,Armstrong Circle Theatre,NBC,34.7
55,1951,25,Strike It Rich,CBS,34.5
56,1951,26,Robert Montgomery Presents,NBC,34.4
57,1951,27,The Roy Rogers Show,NBC,32.7
58,1951,28,Hopalong Cassidy,NBC,32.2
59,1951,29,Man Against Crime,CBS,32.0
60,1951,Racket Squad,,CBS,32.0
61,1952,1,I Love Lucy,CBS,67.3
62,1952,2,Arthur Godfrey's Talent Scouts,CBS,54.7
63,1952,3,Arthur Godfrey and His Friends,CBS,47.1
64,1952,4,Dragnet,NBC,46.8
65,1952,5,Texaco Star Theater,NBC,46.7
66,1952,6,The Buick Circus Hour,NBC,46.0
67,1952,7,The Colgate Comedy Hour,NBC,44.3
68,1952,8,Gangbusters,NBC,42.4
69,1952,9,You Bet Your Life,NBC,41.6
70,1952,10,Fireside Theatre,NBC,40.6
71,1952,11,The Red Buttons Show,CBS,40.2
72,1952,12,The Jack Benny Show,CBS,39.0
73,1952,13,Life with Luigi,CBS,38.5
74,1952,14,Pabst Blue Ribbon Bouts,CBS,37.9
75,1952,15,Goodyear TV Playhouse,NBC,37.8
76,1952,16,The Life of Riley,NBC,37.4
77,1952,17,Philco TV Playhouse,NBC,37.3
78,1952,18,Mama,CBS,37.0
79,1952,19,Your Show of Shows,NBC,36.0
80,1952,20,What's My Line?,CBS,35.3
81,1952,Strike It Rich,,CBS,35.3
82,1952,22,Our Miss Brooks,CBS,35.0
83,1952,The Big Story,,CBS,35.0
84,1952,24,Gillette Cavalcade of Sports,CBS,34.7
85,1952,25,Amos 'n' Andy,CBS,34.4
86,1952,26,All Star Revue,NBC,34.3
87,1952,27,Treasury Men in Action,NBC,34.2
88,1952,28,The Red Skelton Show,NBC,33.7
89,1952,The Lone Ranger,ABC,NBC,33.7
90,1952,30,Ford Theatre,NBC,33.6
91,1953,1,I Love Lucy,CBS,58.8
92,1953,2,Dragnet,NBC,53.2
93,1953,3,Arthur Godfrey's Talent Scouts,CBS,43.6
94,1953,You Bet Your Life,,CBS,43.6
95,1953,5,The Milton Berle Show,CBS,40.2
96,1953,6,Arthur Godfrey and His Friends,CBS,38.9
97,1953,7,Ford Theatre,NBC,38.8
98,1953,8,The Jackie Gleason Show,CBS,38.1
99,1953,9,Fireside Theatre,NBC,36.4
100,1953,10,The Colgate Comedy Hour,NBC,36.2
101,1953,This Is Your Life,,NBC,36.2
102,1953,12,The Red Buttons Show,CBS,35.3
103,1953,13,The Life of Riley,NBC,35.0
104,1953,14,Our Miss Brooks,CBS,34.2
105,1953,15,Treasury Men in Action,NBC,33.9
106,1953,16,The Jack Benny Show,CBS,33.3
107,1953,17,The Toast of the Town,CBS,33.0
108,1953,18,Gillette Cavalcade of Sports,NBC,32.7
109,1953,19,Philco TV Playhouse,NBC,32.5
110,1953,20,The George Burns and Gracie Allen Show,CBS,32.4
111,1953,21,Kraft Television Theatre,NBC,31.3
112,1953,22,Goodyear TV Playhouse,NBC,31.0
113,1953,23,Pabst Blue Ribbon Bouts,CBS,30.9
114,1953,24,Private Secretary,CBS,30.3
115,1953,25,I Married Joan,NBC,30.2
