year,canned_laugh_track,no_added_laughter,studio_audience
1950,0.0,27.0,73.0
1951,8.0,17.0,75.0
1952,13.0,7.0,80.0
1953,12.0,12.0,76.0
1954,29.0,12.0,59.0
1955,19.0,19.0,62.0
1956,20.0,20.0,60.0
1957,31.0,31.0,38.0
1958,29.0,29.0,43.0
1959,25.0,25.0,50.0
1960,50.0,8.0,42.0
1961,64.0,7.0,29.0
1962,33.0,7.0,60.0
1963,45.0,9.0,45.0
1964,67.0,6.0,28.0
1965,58.0,16.0,26.0
1966,65.0,6.0,29.0
1967,50.0,6.0,44.0
1968,61.0,0.0,39.0
1969,53.0,7.0,40.0
1970,58.0,0.0,42.0
1971,25.0,8.0,67.0
1972,27.0,0.0,73.0
1973,9.0,0.0,91.0
1974,7.0,0.0,93.0
1975,11.0,0.0,89.0
1976,7.0,7.0,87.0
1977,12.0,19.0,69.0
1978,5.0,24.0,71.0
1979,10.0,19.0,71.0
1980,6.0,25.0,69.0
1981,14.0,14.0,71.0
1982,17.0,17.0,67.0
1983,10.0,20.0,70.0
1984,0.0,27.0,73.0
1985,0.0,13.0,87.0
1986,6.0,12.0,81.0
1987,5.0,16.0,79.0
1988,6.0,12.0,82.0
1989,0.0,18.0,82.0
1990,0.0,9.0,91.0
1991,0.0,5.0,95.0
1992,0.0,12.0,88.0
1993,0.0,6.0,94.0
1994,0.0,0.0,100.0
1995,0.0,0.0,100.0
1996,0.0,0.0,100.0
1997,0.0,14.0,86.0
1998,0.0,9.0,91.0
1999,0.0,18.0,82.0
2000,0.0,10.0,90.0
2001,8.0,25.0,67.0
2002,0.0,10.0,90.0
2003,0.0,0.0,100.0
2004,0.0,50.0,50.0
2005,0.0,25.0,75.0
2006,0.0,40.0,60.0
2007,0.0,67.0,33.0
2008,0.0,33.0,67.0
2009,0.0,50.0,50.0
2010,0.0,62.0,38.0
2011,0.0,33.0,67.0
2012,0.0,40.0,60.0
2013,17.0,33.0,50.0
2014,0.0,40.0,60.0
2015,0.0,50.0,50.0
2016,0.0,40.0,60.0
2017,0.0,50.0,50.0
2018,0.0,57.0,43.0
2019,0.0,75.0,25.0
2020,0.0,100.0,0.0
2021,0.0,100.0,0.0
2022,0.0,67.0,33.0
2023,0.0,100.0,0.0
2024,0.0,71.0,29.0
