,year,rank,title,network,rating,camera,laugh_track_category
0,1950,1,Texaco Star Theater,NBC,61.6,Unknown,studio_audience
1,1950,4,Your Show of Shows,NBC,42.6,Multi-camera,studio_audience
2,1950,5,The Colgate Comedy Hour,NBC,42.0,Multi-camera,studio_audience
3,1950,8,Arthur Godfrey's Talent Scouts,CBS,40.6,Multi-camera,studio_audience
4,1950,10,Mama,CBS,39.7,Unknown,no_added_laughter
5,1950,15,The Toast of the Town,CBS,36.5,Unknown,studio_audience
6,1950,16,The Aldrich Family,NBC,36.1,Unknown,studio_audience
7,1950,17,You Bet Your Life,NBC,36.0,Unknown,studio_audience
8,1950,19,Big Town,CBS,35.6,Unknown,no_added_laughter
9,1950,28,The Ken Murray Show,CBS,32.1,Unknown,studio_audience
10,1950,30,Lux Video Theatre,CBS,31.5,Unknown,no_added_laughter
11,1951,1,Arthur Godfrey's Talent Scouts,CBS,53.8,Multi-camera,studio_audience
12,1951,2,Texaco Star Theater,NBC,52.0,Unknown,studio_audience
13,1951,3,I Love Lucy,CBS,50.9,Multi-camera,studio_audience
14,1951,4,The Red Skelton Show,NBC,50.2,Unknown,studio_audience
15,1951,5,The Colgate Comedy Hour,NBC,45.3,Multi-camera,studio_audience
16,1951,8,Your Show of Shows,NBC,43.0,Multi-camera,studio_audience
17,1951,9,The Jack Benny Show,CBS,42.8,Unknown,studio_audience
18,1951,10,You Bet Your Life,NBC,42.1,Unknown,studio_audience
19,1951,11,Mama,CBS,41.3,Unknown,no_added_laughter
20,1951,13,Amos 'n' Andy,CBS,38.9,Unknown,canned_laugh_track
21,1951,15,Big Town,CBS,38.5,Unknown,no_added_laughter
22,1951,20,All Star Revue,NBC,36.3,Unknown,studio_audience
23,1952,1,I Love Lucy,CBS,67.3,Multi-camera,studio_audience
24,1952,2,Arthur Godfrey's Talent Scouts,CBS,54.7,Multi-camera,studio_audience
25,1952,5,Texaco Star Theater,NBC,46.7,Unknown,studio_audience
26,1952,7,The Colgate Comedy Hour,NBC,44.3,Multi-camera,studio_audience
27,1952,9,You Bet Your Life,NBC,41.6,Unknown,studio_audience
28,1952,11,The Red Buttons Show,CBS,40.2,Unknown,studio_audience
29,1952,12,The Jack Benny Show,CBS,39.0,Unknown,studio_audience
30,1952,16,The Life of Riley,NBC,37.4,Unknown,canned_laugh_track
31,1952,18,Mama,CBS,37.0,Unknown,no_added_laughter
32,1952,19,Your Show of Shows,NBC,36.0,Multi-camera,studio_audience
33,1952,20,What's My Line?,CBS,35.3,Unknown,studio_audience
34,1952,22,Our Miss Brooks,CBS,35.0,Multi-camera,studio_audience
35,1952,25,Amos 'n' Andy,CBS,34.4,Unknown,canned_laugh_track
36,1952,26,All Star Revue,NBC,34.3,Unknown,studio_audience
37,1952,28,The Red Skelton Show,NBC,33.7,Unknown,studio_audience
38,1953,1,I Love Lucy,CBS,58.8,Multi-camera,studio_audience
39,1953,3,Arthur Godfrey's Talent Scouts,CBS,43.6,Multi-camera,studio_audience
40,1953,3,You Bet Your Life,NBC,43.6,Unknown,studio_audience
41,1953,5,The Milton Berle Show,NBC,40.2,Unknown,studio_audience
42,1953,8,The Jackie Gleason Show,CBS,38.1,Multi-camera,studio_audience
43,1953,10,The Colgate Comedy Hour,NBC,36.2,Multi-camera,studio_audience
44,1953,12,The Red Buttons Show,CBS,35.3,Unknown,studio_audience
45,1953,13,The Life of Riley,NBC,35.0,Unknown,studio_audience
46,1953,14,Our Miss Brooks,CBS,34.2,Multi-camera,studio_audience
47,1953,16,The Jack Benny Show,CBS,33.3,Unknown,studio_audience
